Filename,Code Path,outliers,feminity,feminity_prediction_levels,damage,predictors,covariates,back_transform,df,Model
universe_35.R,_start->Model->O,c(),female,,log_dam,feminity + damage + z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_36.R,_start->Model->O,c(),female,,log_dam,feminity + damage + z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_37.R,_start->Model->O,c(),masfem,,dam,feminity * damage,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_38.R,_start->Model->O,c(),masfem,,dam,feminity * damage,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_39.R,_start->Model->O,c(),masfem,,dam,feminity * damage,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_40.R,_start->Model->O,c(),masfem,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_41.R,_start->Model->O,c(),masfem,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_42.R,_start->Model->O,c(),masfem,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_43.R,_start->Model->O,c(),masfem,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_44.R,_start->Model->O,c(),masfem,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_45.R,_start->Model->O,c(),masfem,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_46.R,_start->Model->O,c(),masfem,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_47.R,_start->Model->O,c(),masfem,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_48.R,_start->Model->O,c(),masfem,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_49.R,_start->Model->O,c(),masfem,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_50.R,_start->Model->O,c(),masfem,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_51.R,_start->Model->O,c(),masfem,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_52.R,_start->Model->O,c(),masfem,,dam,feminity + damage + z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
