uid,expected_diff,NRMSE
1,175.5757164366433,2.1194457769155433
2,115.90311721295697,1.8776123939680578
3,98.71773557927942,1.6998598763215251
4,141.8944020548565,1.7237254797308965
5,97.23996152498253,1.4738462897738966
6,85.38872264585802,0.9156082708409271
7,174.08844774281212,2.531424157289227
8,114.46168545827534,2.4629494306745365
9,97.54461308063694,1.6466883855789065
10,107.42049305095225,0.9156368735243816
11,96.04085895904717,1.378938834731991
12,83.17597849848866,1.072032691587812
13,135.9058154026643,1.684194695568255
14,102.45211295830121,2.0721219743068238
15,88.13723393539584,1.2908593850548986
16,82.96415862183824,0.6687509301939434
17,59.2350278107792,0.5025647226193823
18,59.98378721145217,0.6866819319380544
19,11.41449335560084,0.10012121955374706
20,11.598199782234357,0.09829340224125271
21,11.503964613488836,0.09940510456359758
22,15.420447768837722,0.09462485834460035
23,15.66596688310922,0.09165068107072431
24,15.50596977252054,0.09367332520054172
25,11.523524816616437,0.10093987448581795
26,11.710950153400688,0.09940520295199143
27,11.617238321142082,0.10041763722078013
28,11.58440786519942,0.10035689316032564
29,11.714694850979118,0.09872691001584195
30,11.668179126771292,0.09975989048364116
31,12.323942028395027,0.09950685161902216
32,12.567880047899852,0.09729329811043463
33,12.436016930148629,0.09866232111910814
34,4.376047571897459,0.1014031728512248
35,4.225883304961609,0.10029955972577805
36,4.379334724061383,0.10108674792018392
37,167.4706495558944,2.8997235696463566
38,109.84490412881009,2.6220359041081034
39,91.91740682910641,1.8109968670888386
40,142.38604902581983,2.6039107609187457
41,95.40512059746543,2.4364431101060675
42,82.30733361944581,1.235057117064097
43,169.3718182038962,3.7092747179839405
44,109.39060581864771,4.090645704758337
45,90.96974400390901,2.0700429143292407
46,98.67989449226184,0.9703074300518488
47,87.52322489987986,1.5672779141248874
48,76.70621880329125,1.0056669673285699
49,131.63749609926768,2.307054966369376
50,97.35648606047074,3.2072062183434857
51,82.82749562512855,1.6097678466320926
52,83.8654069076995,0.738351586001166
53,58.91101199808916,0.5725192868696618
54,59.4879334249386,0.7163868522547809
