uid,rho,eblack,pblack,einter,pinter
1,0.1351861873958979,-0.031182341739697597,6.233221695382827e-5,-0.016479374673503203,0.5953292602645296
2,0.14025202967856426,-0.03181958148341964,3.8715166652451816e-4,-0.01448817766225898,0.827623708479287
3,0.11407802125881741,-0.02927759183339884,0.06260180152266777,-0.027435709304645648,0.4180555055761594
4,0.1351861873958979,-0.031182341739697597,6.233221695382827e-5,-0.016479374673503203,0.5953292602645296
5,0.14025202967856426,-0.03181958148341964,3.8715166652451816e-4,-0.01448817766225898,0.827623708479287
6,0.11407802125881741,-0.02927759183339884,0.06260180152266777,-0.027435709304645648,0.4180555055761594
7,0.1220369743540907,-0.03185295343009776,4.576145806231508e-5,-0.013555101534427561,0.705639971700191
8,0.12887896655471465,-0.03231787833935906,3.225317917163755e-4,-0.014313664735935015,0.7150175754785979
9,0.08962379955870024,-0.030386416852308563,0.054318532664529975,-0.010492370559687639,0.8926701311097809
10,0.12478334661487152,-0.03215013819525017,3.8012249718827615e-5,-0.018452581716555717,0.3503132431587333
11,0.13307722131512661,-0.032908063163228904,2.448249801543581e-4,-0.020283680872323056,0.3664628506780557
12,0.08712460775377116,-0.030073992673562196,0.05690808170224653,-0.013672498867893675,0.7073129886357559
13,0.13687027348899028,-0.030756091558658754,7.786278675761752e-5,-0.0159026208277539,0.651897601024928
14,0.14108070914309528,-0.03148135141307539,4.4803920017470235e-4,-0.012468422778678838,0.9988865574587019
15,0.12282106901297186,-0.02874049054635525,0.06737033599907882,-0.03303021684130338,0.25756422830422426
16,0.15172843946913592,-0.03118753654973782,5.656211402493664e-5,-0.021222904863003537,0.2579519994430117
17,0.15613481271931678,-0.031638933416449924,3.881675446761342e-4,-0.020011792963436997,0.457128448737714
18,0.14794359593205644,-0.029793734947625078,0.056530694973265856,-0.036631230979405675,0.143635124852994
19,0.06630394505815997,-0.032162582620671544,4.350705198749442e-5,-0.01781249823600465,0.22000962107059005
20,0.0690713709984863,-0.03271074534673119,3.0448662820774496e-4,-0.007178642899897808,0.9165226312550854
21,0.07782847383186808,-0.031121468593386433,0.052036831908997154,-0.05432648292375951,0.04225009088390253
22,0.07876516686387533,-0.03200607290694563,4.6330264305800254e-5,-0.013591557837241593,0.6829098140673708
23,0.09079093094706595,-0.03275946450090333,2.9751175887385333e-4,-4.338129933967802e-4,0.47759500915095854
24,0.08279685253873859,-0.031954855291509106,0.04843380253833212,-0.06209702260003511,0.0096717768871169
25,0.1178761504919021,-0.03068679456288742,8.716560712685553e-5,-0.02926022001557261,0.3202051559534184
26,0.12118834801622635,-0.03131019725774309,5.05916349578036e-4,-0.023023647165966818,0.686412584160268
27,0.10782565334452705,-0.029327514760955676,0.06418043991345569,-0.04989185717320227,0.20176262427690356
28,0.1178761504919021,-0.03068679456288742,8.716560712685553e-5,-0.02926022001557261,0.3202051559534184
29,0.12118834801622635,-0.03131019725774309,5.05916349578036e-4,-0.023023647165966818,0.686412584160268
30,0.10782565334452705,-0.029327514760955676,0.06418043991345569,-0.04989185717320227,0.20176262427690356
31,0.10684112134737551,-0.03094061620477061,7.854688382496438e-5,-0.032682069440685226,0.17652008221983723
32,0.11934364760337998,-0.031076957964080276,5.586040427018012e-4,-0.030881896795021915,0.3525814620834758
33,0.07469800140491921,-0.030740808417840253,0.05347907136487059,-0.042242157102702245,0.19366393009368443
34,0.10003364567862034,-0.03113924028392649,7.131757096882122e-5,-0.021890476073184874,0.5075590543973084
35,0.11450061743124991,-0.031903524501938195,3.971405668637787e-4,-0.028379399083380955,0.42179526889735247
36,0.061881160582840274,-0.030084248539714507,0.057671237691615376,-0.0035810017567016322,0.9960953167822121
37,0.12031672759694079,-0.03112050740778978,6.834072070169143e-5,-0.02876319249646328,0.37699885320934884
38,0.12016878537352597,-0.03191891315125232,3.9294331845707926e-4,-0.02172949524959688,0.76411942217559
39,0.12112962587283473,-0.029006370173102203,0.06612916860007853,-0.05054840883027032,0.2369209649555786
40,0.12441096625317236,-0.031297934040848935,6.13825015701844e-5,-0.04159686862447327,0.07714197901384187
41,0.13203535849683545,-0.031249116816277376,5.057549190746862e-4,-0.042246498937092924,0.1279911809774799
42,0.09806233903558378,-0.03100422612464552,0.04926926202606322,-0.0416569662897731,0.34551986155444003
43,0.10875117856540449,-0.03249409853430878,3.338440825553785e-5,-0.005959414746058961,0.592337318059171
44,0.11747238101213736,-0.033420911401787684,2.1556757386001073e-4,-0.0025252544268320794,0.6803076394981586
45,0.10277656837733437,-0.03126114639861682,0.05134004787153709,-0.021663243667530304,0.0225346007019554
46,0.1371722197828814,-0.031080895162477612,5.763468421596751e-5,-0.017173801666824213,0.1825465160227311
47,0.14232040301538165,-0.0317823167162673,3.57671300892364e-4,-0.014081058464552347,0.32945502959358075
48,0.11550070302043472,-0.02890425558220595,0.06282385122430467,-0.032746861788818006,0.2592205411976998
49,0.1371722197828814,-0.031080895162477612,5.763468421596751e-5,-0.017173801666824213,0.1825465160227311
50,0.14232040301538165,-0.0317823167162673,3.57671300892364e-4,-0.014081058464552347,0.32945502959358075
51,0.11550070302043472,-0.02890425558220595,0.06282385122430467,-0.032746861788818006,0.2592205411976998
52,0.12281571507426066,-0.0315049681604928,4.707549491340927e-5,-0.012794149822018817,0.29659950585941697
53,0.13058128224606644,-0.03199837245459501,3.332485896673024e-4,-0.013531103846251884,0.32340626014157015
54,0.08825422496009563,-0.02999198435844196,0.05411586580250862,-0.009848574668835427,0.7229192477739453
55,0.12529368778846717,-0.03169434259393587,4.2119648510215975e-5,-0.019726673679226984,0.10390729311388529
56,0.13440410047782397,-0.032454215711184994,2.714282669289047e-4,-0.02106890596835263,0.1261494287346951
57,0.0858572425966299,-0.029675941611937214,0.05680476506267694,-0.016531227653862484,0.5094733026190696
58,0.1391573242963543,-0.030881002301210714,6.405220554045662e-5,-0.017849972892213066,0.1712825943779011
59,0.1430110317167851,-0.031689081617507046,3.7181228081546177e-4,-0.012751011571710717,0.3857186331197988
60,0.12565209880422124,-0.028377445199287334,0.06752804862678226,-0.04231674705374309,0.1339466003123689
61,0.15490376074688675,-0.0313169054589278,4.8278539873202046e-5,-0.026348212120904397,0.03619507313486399
62,0.15960058127041102,-0.031833867531169194,3.371766248073202e-4,-0.023553713994079815,0.10279598726014165
63,0.14355267089570775,-0.029404728518187085,0.0573866719806735,-0.05115729423603995,0.046639162278493025
64,0.0663352207788058,-0.03203285420944895,3.858557869494589e-5,-0.017780764176184433,0.10995194388494091
65,0.06913408382445403,-0.03262592067058088,2.7700109705688155e-4,-0.007179755443191917,0.5995204640822531
66,0.0779713057128007,-0.030391918508696113,0.05117113682661387,-0.05405821421965158,0.04438736759201176
67,0.07887890071963818,-0.03188452855566443,4.12390054241259e-5,-0.01368886150270883,0.3062647564771729
68,0.09098871813837908,-0.032640263528019874,2.685143756821554e-4,-5.278657923027397e-4,0.973824747262202
69,0.08299172427490437,-0.030606831017073708,0.04951875610322362,-0.06069673454701299,0.013750933912154912
70,0.1181138815739968,-0.03052993483164615,8.144784266321513e-5,-0.028980677519039016,0.03792723072531386
71,0.12147902555039965,-0.031213278308309677,4.7412824534098037e-4,-0.022681160266348817,0.13314288997844972
